WARNING 2025-05-14 03:10:34,700 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:11:35,710 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:11:35,710 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:12:36,704 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:12:36,705 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:13:37,709 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:13:37,709 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:14:38,697 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:14:38,698 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:15:39,703 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:15:39,704 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:16:40,704 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:16:40,704 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:17:41,697 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:17:41,698 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:18:42,710 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:18:42,711 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:19:43,705 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:19:43,706 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:20:44,703 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:20:44,704 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:21:45,707 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:21:45,708 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:22:46,697 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:22:46,698 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:23:47,706 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:23:47,706 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:24:48,712 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:24:48,713 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:25:49,704 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:25:49,705 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:26:50,698 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:26:50,699 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:27:51,707 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:27:51,708 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:28:52,705 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:28:52,706 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:29:53,698 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:29:53,699 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:30:54,708 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:30:54,708 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:31:55,707 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:31:55,707 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:32:56,705 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:32:56,706 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:33:57,706 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:33:57,707 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:34:58,713 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:34:58,714 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:35:59,707 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:35:59,708 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:37:00,710 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:37:00,711 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:38:01,712 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:38:01,712 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:39:02,704 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:39:02,704 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:40:03,698 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:40:03,699 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:40:09,571 basehttp "GET /my_shelf/ HTTP/1.1" 200 40891
WARNING 2025-05-14 03:40:09,628 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:40:09,628 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:40:10,869 basehttp "POST /logout/ HTTP/1.1" 302 0
INFO 2025-05-14 03:40:10,947 basehttp "GET / HTTP/1.1" 200 9953
INFO 2025-05-14 03:40:11,608 basehttp "GET / HTTP/1.1" 200 9953
INFO 2025-05-14 03:40:25,856 basehttp "GET /catalog/ HTTP/1.1" 200 20097
INFO 2025-05-14 03:40:44,181 basehttp "GET /login/ HTTP/1.1" 200 3985
INFO 2025-05-14 03:41:08,636 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-05-14 03:41:08,729 basehttp "GET / HTTP/1.1" 200 30108
WARNING 2025-05-14 03:41:08,799 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:08,800 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:09,871 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27419
WARNING 2025-05-14 03:41:09,918 log Not Found: /media/profile/2025/05/13/60ae9cadfd8fe009c913d6a3413fdcff_vViVFzE.jpg
WARNING 2025-05-14 03:41:09,918 basehttp "GET /media/profile/2025/05/13/60ae9cadfd8fe009c913d6a3413fdcff_vViVFzE.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:09,939 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:09,940 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:16,203 basehttp "POST /accounts/profile/ HTTP/1.1" 302 0
INFO 2025-05-14 03:41:16,287 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27713
WARNING 2025-05-14 03:41:16,328 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:16,331 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:16,361 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:16,363 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:18,615 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:18,643 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:18,645 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:18,664 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:18,665 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:19,606 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:19,642 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:19,642 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:19,660 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:19,661 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:20,127 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:20,157 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:20,158 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:20,172 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:20,174 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:20,501 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:20,531 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:20,532 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:20,547 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:20,548 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 03:41:24,286 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:24,317 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:24,320 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:24,323 log Not Found: /static/img/Логотип.png
